N,Price,WL,DA,D75,A,MO
1,5556,1,12.1,4.9,36,33
2,5236,1,12.1,4.9,38.2,30
3,5952,1,12,4.9,21,15
4,7000,0,16,1.2,40,44
5,3750,0,15.5,3.2,40,43
6,7000,0,13.7,3.2,20,25
7,5952,0,14.5,2.5,21,24
8,2009,0,16.1,0.1,656,19
9,2583,1,15.2,3,60,18
10,2449,0,15.5,1,156,18
11,2500,0.5,15.2,2,40,3
12,3000,0,15.5,3.2,13,3
13,3704,0,13.5,2.5,27,3
14,3500,0,15.5,1,10,3
15,3500,0,17.5,5.4,20,38
16,4537,1,18,5.9,38,24
17,3700,0,17.2,5.1,5,3
18,2020,1,34.2,22,5,27
19,5000,0,11.1,5.1,3.5,13
20,4764,0,14.2,2,237.6,40
21,871,1,14.2,2,237.6,7
22,3500,1,11.1,3.1,20,41
23,15200,1,14.7,2.4,5,36
24,4767,0,12.1,4.1,30,22
25,16316,1,14.8,2.5,3.8,21
26,9873,1,14.8,2.5,7.9,17
27,5175,0.25,14.2,2,40,13
28,3977,0,11.4,2.9,8.8,10
29,5500,0.2,18.5,5.9,10,38
30,7500,0,16.5,3.9,8,42
31,4545,1,16.8,4.5,97,36
32,3765,0.72,18.7,6.4,178,29
33,5000,1,18.4,6.1,10.3,25
34,3300,0,16.2,4,525.7,25
35,5500,0,18,5.4,6,21
36,5172,0,15,2.4,29,20
37,3571,0,15.1,2.5,21,20
38,4000,0,18.2,6,10,15
39,4000,0,18.4,6.1,15,18
40,2625,0,15.5,2.9,80,10
41,2257,0,42.8,30.5,171,14
42,15504,0,4.0,4.5,38.7,39
43,5600,0,3.8,4.0,30,25
44,8000,0,3.5,4.2,30,27
45,7700,0,4.0,3.8,15,46
46,6187,0,4.2,5.0,69.5,15
47,7018,0,3.5,4.0,10.9,23
48,4821,0.6,7.8,2.7,224,33
49,6504,0,14.9,4.8,6.4,40
50,5225,0,16.2,5.0,10,40
51,2500,0,24.0,14.0,40,33
52,4000,1,22.5,12.4,10,20
53,3638,1,5.0,2.2,73,2
54,5400,0,13.1,3.7,10,28
55,4850,0,12.4,3.0,10,28
56,1628,0,22.8,12.8,80,23
57,2780,0,23.2,13.2,10,26
58,4500,0,21.0,11.0,5,28
59,5600,1,21.2,11.2,5,22
60,4750,1,21.7,11.7,5,32
61,1790,0,18.8,8.8,375,38
62,2750,0,23.4,13.4,10,22
63,3250,0,22.5,12.5,10,19
64,8500,1,16.8,2.7,5,27
65,5357,0,16.8,2.7,5.6,26
66,2500,0,21.8,7.5,50,14
67,8505,1,20.5,5.8,9.7,12
